"NBLOCKS","UNBIASED","VALID"
31,0,0.000333222259246918
29,0,0.000333222259246918
29,0,0.000333222259246918
29,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
29,0,0.000333222259246918
26,0,0.000333222259246918
31,0.000333333333333333,0.000666444518493835
30,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
29,0,0.000333222259246918
30,0,0.000333222259246918
27,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
32,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
32,0,0.000333222259246918
26,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
29,0,0.000333222259246918
32,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
29,0,0.000333222259246918
27,0,0.000333222259246918
27,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
28,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
28,0,0.000333222259246918
29,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
28,0,0.000333222259246918
29,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
27,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
29,0,0.000333222259246918
30,0,0.000333222259246918
27,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
28,0,0.000333222259246918
29,0,0.000333222259246918
30,0,0.000333222259246918
27,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
27,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
28,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
32,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
27,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
28,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
32,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
30,0,0.000333222259246918
32,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
28,0,0.000333222259246918
28,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
28,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
32,0,0.000333222259246918
29,0,0.000333222259246918
29,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
32,0,0.000333222259246918
31,0,0.000333222259246918
29,0,0.000333222259246918
31,0,0.000333222259246918
29,0,0.000333222259246918
32,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
32,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
29,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
28,0,0.000333222259246918
28,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
30,0,0.000333222259246918
31,0,0.000333222259246918
31,0,0.000333222259246918
